Proizvajalec;Model;Gorivo;Moè (km);Menjalnik;Pogon;ABS;Navigacija;Klima;Parkirni senzor
BMW;BMW 315 (4-Gang);Bencin;75;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 315 (5-Gang);Bencin;75;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 (4-Gang);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 316 (5-Gang);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 316 (4-Gang);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 (5-Gang);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 Automatik;Bencin;90;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318 (4-Gang);Bencin;98;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 318 (5-Gang);Bencin;98;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 318 Automatik;Bencin;98;Avtomatski;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 318i (4-Gang);Bencin;105;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i (5-Gang);Bencin;105;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 318i Automatik;Bencin;105;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 (4-Gang);Bencin;122;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 (5-Gang);Bencin;122;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 Automatik;Bencin;122;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 323i (4-Gang);Bencin;143;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 323i (5-Gang);Bencin;143;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 323i Automatik;Bencin;143;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316 (4-Gang);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 316 (5-Gang);Bencin;90;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 318 (4-Gang);Bencin;98;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 318 (5-Gang);Bencin;98;Roèni;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 318 Automatik;Bencin;98;Avtomatski;Pogon na zadnja kolesa;NE;NE;NE;NE
BMW;BMW 320 (4-Gang);Bencin;109;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 (5-Gang);Bencin;109;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 Automatik;Bencin;109;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 (4-Gang);Bencin;122;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 (5-Gang);Bencin;122;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320 Automatik;Bencin;122;Avtomatski;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320i (4-Gang);Bencin;125;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 320i (5-Gang);Bencin;125;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 323i (4-Gang);Bencin;143;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 323i (5-Gang);Bencin;143;Roèni;Pogon na zadnja kolesa;NE;NE;DA;NE
BMW;BMW 316i (2-Türer);Bencin;99;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i Automatic (2-Türer);Bencin;99;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i (2-Türer);Bencin;102;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 316i Automatic (2-Türer);Bencin;102;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i (2-Türer);Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318i Automatic (2-Türer);Bencin;113;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i (2-Türer);Bencin;129;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 320i Automatic (2-Türer);Bencin;129;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 318is (2-Türer);Bencin;136;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i (2-Türer);Bencin;170;Roèni;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325i Automatic (2-Türer);Bencin;170;Avtomatski;Pogon na zadnja kolesa;DA;NE;DA;NE
BMW;BMW 325ix (2-Türer);Bencin;170;Roèni;Pogono na vsa kolesa;DA;NE;DA;NE
